url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,1,Poor Little Fool,Ricky Nelson,Poor Little FoolRicky Nelson,1,,1,1
http://www.billboard.com/charts/hot-100/1995-12-02,12/2/1995,1,One Sweet Day,Mariah Carey & Boyz II Men,One Sweet DayMariah Carey & Boyz II Men,1,,1,1
http://www.billboard.com/charts/hot-100/1997-10-11,10/11/1997,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,Candle In The Wind 1997/Something About The Way You Look TonightElton John,1,,1,1
http://www.billboard.com/charts/hot-100/2006-07-01,7/1/2006,1,Do I Make You Proud,Taylor Hicks,Do I Make You ProudTaylor Hicks,1,,1,1
http://www.billboard.com/charts/hot-100/2009-10-24,10/24/2009,1,3,Britney Spears,3Britney Spears,1,,1,1
http://www.billboard.com/charts/hot-100/2011-02-26,2/26/2011,1,Born This Way,Lady Gaga,Born This WayLady Gaga,1,,1,1
http://www.billboard.com/charts/hot-100/2012-03-03,3/3/2012,1,Part Of Me,Katy Perry,Part Of MeKaty Perry,1,,1,1
http://www.billboard.com/charts/hot-100/2014-09-06,9/6/2014,1,Shake It Off,Taylor Swift,Shake It OffTaylor Swift,1,,1,1
http://www.billboard.com/charts/hot-100/2016-02-20,2/20/2016,1,Pillowtalk,Zayn,PillowtalkZayn,1,,1,1
http://www.billboard.com/charts/hot-100/2016-05-28,5/28/2016,1,Can't Stop The Feeling!,Justin Timberlake,Can't Stop The Feeling!Justin Timberlake,1,,1,1
http://www.billboard.com/charts/hot-100/2017-01-28,1/28/2017,1,Shape Of You,Ed Sheeran,Shape Of YouEd Sheeran,1,,1,1
https://www.billboard.com/charts/hot-100/2018-11-17,11/17/2018,1,"Thank U Next",Ariana Grande,"Thank U NextAriana Grande",1,,1,1
https://www.billboard.com/charts/hot-100/2019-02-02,2/2/2019,1,7 Rings,Ariana Grande,7 RingsAriana Grande,1,,1,1
https://www.billboard.com/charts/hot-100/2019-03-16,3/16/2019,1,Sucker,Jonas Brothers,SuckerJonas Brothers,1,,1,1
http://www.billboard.com/charts/hot-100/1958-08-02,8/2/1958,2,Patricia,Perez Prado And His Orchestra,PatriciaPerez Prado And His Orchestra,1,,2,1
http://www.billboard.com/charts/hot-100/1996-04-06,4/6/1996,2,Always Be My Baby,Mariah Carey,Always Be My BabyMariah Carey,1,,2,1
http://www.billboard.com/charts/hot-100/1996-05-11,5/11/1996,2,Tha Crossroads,Bone Thugs-N-Harmony,Tha CrossroadsBone Thugs-N-Harmony,1,,2,1
http://www.billboard.com/charts/hot-100/1997-09-27,9/27/1997,2,4 Seasons Of Loneliness,Boyz II Men,4 Seasons Of LonelinessBoyz II Men,1,,2,1
http://www.billboard.com/charts/hot-100/2008-08-30,8/30/2008,2,Crush,David Archuleta,CrushDavid Archuleta,1,,2,1
http://www.billboard.com/charts/hot-100/2009-08-29,8/29/2009,2,Party In The U.S.A.,Miley Cyrus,Party In The U.S.A.Miley Cyrus,1,,2,1
http://www.billboard.com/charts/hot-100/2010-05-29,5/29/2010,2,California Gurls,Katy Perry Featuring Snoop Dogg,California GurlsKaty Perry Featuring Snoop Dogg,1,,2,1
http://www.billboard.com/charts/hot-100/2012-04-14,4/14/2012,2,Boyfriend,Justin Bieber,BoyfriendJustin Bieber,1,,2,1
http://www.billboard.com/charts/hot-100/2013-08-10,8/10/2013,2,Best Song Ever,One Direction,Best Song EverOne Direction,1,,2,1
http://www.billboard.com/charts/hot-100/2015-11-14,11/14/2015,2,Sorry,Justin Bieber,SorryJustin Bieber,1,,2,1
http://www.billboard.com/charts/hot-100/2016-08-13,8/13/2016,2,Cold Water,Major Lazer Featuring Justin Bieber & MO,Cold WaterMajor Lazer Featuring Justin Bieber & MO,1,,2,1
